datetime,open,high,low,close,volume
2019-01-18 09:30:00,0.499,0.502,0.502,0.498,3244583
2019-01-21 09:30:00,0.502,0.502,0.505,0.501,765523
2019-01-22 09:30:00,0.502,0.5,0.503,0.5,150599
2019-01-23 09:30:00,0.501,0.502,0.503,0.5,174368
2019-01-24 09:30:00,0.502,0.503,0.504,0.501,310159
2019-01-25 09:30:00,0.503,0.506,0.509,0.503,245662
2019-01-28 09:30:00,0.507,0.506,0.511,0.505,87140
2019-01-29 09:30:00,0.505,0.508,0.509,0.501,76704
2019-01-30 09:30:00,0.507,0.508,0.511,0.506,110680
2019-01-31 09:30:00,0.508,0.509,0.512,0.507,86907
2019-02-01 09:30:00,0.51,0.513,0.514,0.509,124237
2019-02-11 09:30:00,0.513,0.519,0.519,0.513,100244
2019-02-12 09:30:00,0.519,0.521,0.522,0.517,121300
2019-02-13 09:30:00,0.521,0.526,0.528,0.519,151193
2019-02-14 09:30:00,0.527,0.526,0.528,0.523,167735
2019-02-15 09:30:00,0.526,0.516,0.526,0.516,204129
2019-02-18 09:30:00,0.517,0.527,0.527,0.517,674673
2019-02-19 09:30:00,0.526,0.526,0.53,0.523,186497
2019-02-20 09:30:00,0.527,0.527,0.529,0.524,83425
2019-02-21 09:30:00,0.527,0.523,0.531,0.523,110962
2019-02-22 09:30:00,0.523,0.528,0.528,0.519,67564
2019-02-25 09:30:00,0.528,0.55,0.551,0.528,114679
2019-02-26 09:30:00,0.549,0.545,0.551,0.536,89123
2019-02-27 09:30:00,0.544,0.546,0.551,0.541,63472
2019-02-28 09:30:00,0.544,0.544,0.549,0.543,65663
2019-03-01 09:30:00,0.543,0.55,0.55,0.542,50058
2019-03-04 09:30:00,0.55,0.558,0.566,0.55,62722
2019-03-05 09:30:00,0.557,0.564,0.564,0.554,61024
2019-03-06 09:30:00,0.562,0.568,0.568,0.561,67813
2019-03-07 09:30:00,0.568,0.565,0.568,0.56,60383
2019-03-08 09:30:00,0.564,0.544,0.564,0.544,51812
2019-03-11 09:30:00,0.544,0.548,0.554,0.544,40726
2019-03-12 09:30:00,0.549,0.557,0.562,0.549,33888
2019-03-13 09:30:00,0.557,0.555,0.561,0.554,59675
2019-03-14 09:30:00,0.555,0.549,0.559,0.547,57946
2019-03-15 09:30:00,0.549,0.559,0.563,0.549,41023
2019-03-18 09:30:00,0.558,0.576,0.576,0.558,37232
2019-03-19 09:30:00,0.576,0.575,0.581,0.571,23070
2019-03-20 09:30:00,0.574,0.577,0.578,0.569,34155
2019-03-21 09:30:00,0.566,0.576,0.581,0.566,24552
2019-03-22 09:30:00,0.577,0.579,0.581,0.573,33004
2019-03-25 09:30:00,0.577,0.575,0.581,0.574,17323
2019-03-26 09:30:00,0.575,0.567,0.579,0.564,23206
2019-03-27 09:30:00,0.568,0.573,0.575,0.564,43716
2019-03-28 09:30:00,0.573,0.57,0.573,0.568,18979
2019-03-29 09:30:00,0.569,0.585,0.585,0.568,38740
2019-04-01 09:30:00,0.6,0.596,0.6,0.586,46019
2019-04-02 09:30:00,0.596,0.596,0.602,0.596,15014
2019-04-03 09:30:00,0.594,0.603,0.605,0.594,21610
2019-04-04 09:30:00,0.603,0.612,0.612,0.603,13385
2019-04-08 09:30:00,0.612,0.612,0.617,0.605,41192
2019-04-09 09:30:00,0.609,0.613,0.615,0.608,14156
2019-04-10 09:30:00,0.609,0.616,0.619,0.609,17103
2019-04-11 09:30:00,0.616,0.608,0.616,0.607,30535
2019-04-12 09:30:00,0.609,0.605,0.609,0.601,12795
2019-04-15 09:30:00,0.611,0.605,0.63,0.605,43660
2019-04-16 09:30:00,0.605,0.61,0.611,0.594,46169
2019-04-17 09:30:00,0.615,0.613,0.615,0.609,14899
2019-04-18 09:30:00,0.608,0.607,0.613,0.607,42730
2019-04-19 09:30:00,0.608,0.611,0.613,0.603,25611
2019-04-22 09:30:00,0.61,0.596,0.61,0.595,20365
2019-04-23 09:30:00,0.598,0.59,0.601,0.59,37540
2019-04-24 09:30:00,0.59,0.593,0.593,0.587,37690
2019-04-25 09:30:00,0.593,0.577,0.593,0.575,29853
2019-04-26 09:30:00,0.577,0.57,0.577,0.565,112001
2019-04-29 09:30:00,0.57,0.57,0.577,0.57,16969
2019-04-30 09:30:00,0.572,0.577,0.578,0.572,12890
2019-05-06 09:30:00,0.55,0.555,0.583,0.542,109458
2019-05-07 09:30:00,0.555,0.555,0.557,0.549,35449
2019-05-08 09:30:00,0.55,0.549,0.555,0.545,19354
2019-05-09 09:30:00,0.55,0.542,0.554,0.541,26740
2019-05-10 09:30:00,0.547,0.558,0.558,0.543,43291
2019-05-13 09:30:00,0.55,0.553,0.555,0.549,19251
2019-05-14 09:30:00,0.551,0.55,0.554,0.526,18490
2019-05-15 09:30:00,0.546,0.557,0.559,0.546,24249
2019-05-16 09:30:00,0.553,0.561,0.561,0.553,15058
2019-05-17 09:30:00,0.56,0.549,0.56,0.548,25169
2019-05-20 09:30:00,0.548,0.543,0.548,0.54,25802
2019-05-21 09:30:00,0.543,0.55,0.553,0.542,15248
2019-05-22 09:30:00,0.55,0.548,0.551,0.546,21872
2019-05-23 09:30:00,0.543,0.542,0.546,0.54,36460
2019-05-24 09:30:00,0.537,0.543,0.546,0.537,14028
2019-05-27 09:30:00,0.544,0.551,0.551,0.54,29764
2019-05-28 09:30:00,0.551,0.55,0.555,0.55,8485
2019-05-29 09:30:00,0.55,0.55,0.553,0.549,8884
2019-05-30 09:30:00,0.549,0.552,0.554,0.548,25819
2019-05-31 09:30:00,0.55,0.552,0.557,0.55,101914
2019-06-03 09:30:00,0.552,0.552,0.558,0.549,10876
2019-06-04 09:30:00,0.552,0.547,0.552,0.547,5934
2019-06-05 09:30:00,0.552,0.55,0.554,0.55,11107
2019-06-06 09:30:00,0.55,0.547,0.55,0.546,9314
2019-06-10 09:30:00,0.551,0.551,0.553,0.546,7758
2019-06-11 09:30:00,0.554,0.562,0.563,0.554,6016
2019-06-12 09:30:00,0.56,0.559,0.56,0.557,17930
2019-06-13 09:30:00,0.556,0.556,0.558,0.553,4406
2019-06-14 09:30:00,0.556,0.552,0.556,0.551,10004
2019-06-17 09:30:00,0.551,0.552,0.554,0.55,14966
2019-06-18 09:30:00,0.552,0.553,0.553,0.551,18934
2019-06-19 09:30:00,0.558,0.558,0.561,0.558,25743
2019-06-20 09:30:00,0.558,0.567,0.569,0.557,13941
2019-06-21 09:30:00,0.57,0.568,0.572,0.566,8766
2019-06-24 09:30:00,0.568,0.568,0.568,0.566,5507
2019-06-25 09:30:00,0.566,0.563,0.566,0.558,10291
2019-06-26 09:30:00,0.563,0.562,0.564,0.561,3771
2019-06-27 09:30:00,0.562,0.565,0.568,0.562,17191
2019-06-28 09:30:00,0.565,0.563,0.565,0.56,17325
2019-07-01 09:30:00,0.563,0.574,0.578,0.563,3750
2019-07-02 09:30:00,0.574,0.578,0.578,0.573,16074
2019-07-03 09:30:00,0.572,0.577,0.578,0.572,5375
2019-07-04 09:30:00,0.579,0.576,0.581,0.576,2497
